"hgnc_symbol","chromosome_name","start_position","end_position"
"","GL000194.1",30694,57443
"","KI270722.1",25886,38622
"","KI270726.1",14338,15728
"","KI270751.1",34096,71851
"","KI270743.1",183290,208327
"","GL000221.1",79376,121702
"","GL000221.1",15013,48413
"","KI270713.1",11685,22304
"","GL000195.1",20094,34804
"","KI270721.1",52895,53010
"","GL000195.1",86829,96438
"","KI270721.1",52666,52734
"","KI270721.1",2585,11802
"","KI270743.1",6600,8034
"","GL000195.1",49759,50747
"","KI270721.1",51722,51792
"","KI270706.1",1297,141320
"","KI270721.1",50348,56529
"","KI270713.1",4168,7142
"","KI270751.1",133801,139253
"","GL000195.1",137841,179381
"","KI270713.1",30269,31218
"","GL000221.1",1758,15408
"","KI270733.1",167218,167307
"RNA5-8SN4","KI270733.1",128877,129029
"","KI270733.1",173956,174108
"","GL000194.1",10561,28352
"","KI270733.1",122136,122225
"","KI270733.1",26722,28038
"","KI270733.1",12396,13988
"","KI270733.1",21341,24234
"","GL000194.1",145900,156852
"","KI270728.1",17234,19833
"","KI270733.1",113837,140657
"","KI270719.1",122831,170003
"","KI270728.1",1139577,1147868
"","KI270733.1",120506,121345
"","KI270750.1",148668,148843
"","KI270719.1",11497,89582
"","KI270750.1",33474,63757
"","KI270746.1",28192,48455
"","KI270742.1",145,110027
"","GL000219.1",54224,83311
"","GL000219.1",24806,74054
"","KI270746.1",36276,40556
"","KI270719.1",93169,106180
"","KI270746.1",10052,16108
"","KI270728.1",933862,936467
"","KI270721.1",50354,53034
"","KI270728.1",1109945,1110235
"","KI270728.1",137798,139135
"","KI270728.1",1270984,1271271
"","KI270728.1",1336066,1345136
"","GL000219.1",99846,142363
"","KI270728.1",1119967,1135676
"","GL000219.1",83631,99678
"","KI270750.1",19028,33270
"","KI270728.1",1129654,1130626
"","KI270721.1",38384,45185
"","KI270728.1",1417809,1420347
"","KI270706.1",945,84493
"","KI270728.1",1147280,1150718
"","KI270728.1",1687458,1697392
"","KI270706.1",92483,154996
"","KI270721.1",42290,48858
"","GL000008.2",177110,208612
"","GL000205.2",93050,93150
"","GL000205.2",163302,168527
"","GL000205.2",7529,145168
"","KI270728.1",1001617,1008200
"","GL000219.1",40416,42250
"","KI270721.1",37703,41250
"","KI270728.1",91382,140858
"","KI270728.1",1420430,1451338
"","KI270712.1",105820,123821
"","KI270731.1",10598,13001
"","KI270731.1",26533,27138
"","KI270731.1",113725,132767
"","KI270712.1",1378,3207
"","KI270710.1",24966,30774
"","KI270728.1",169379,175868
"","KI270728.1",1753176,1755007
"","KI270728.1",26814,29237
"","GL000008.2",152369,170429
"","KI270728.1",156823,161005
"","KI270731.1",36013,74415
"","KI270731.1",102687,108748
"","GL000216.2",93197,93309
"","KI270731.1",90796,102080
"","KI270728.1",207250,228256
"","KI270731.1",867,7220
"","KI270728.1",1535211,1555445
"","KI270731.1",13145,14830
"","KI270728.1",1842094,1855268
"","KI270728.1",859541,862006
"","KI270728.1",925424,926749
"","KI270728.1",891249,911016
"","KI270728.1",1796109,1817103
"","KI270728.1",956892,958766
"","GL000218.1",20195,42620
"","KI270728.1",1863098,1872048
"","KI270714.1",2865,9624
"","KI270714.1",16293,23109
"","KI270749.1",27487,37302
"","KI270749.1",107947,130418
"","GL000205.2",75988,100753
"","GL000205.2",44576,61804
"","GL000205.2",75648,85014
"","HG126_PATCH",179635,225449
"RNU1-62P","HG126_PATCH",251600,251763
"MTCO3P47","HG126_PATCH",258279,258444
"RNA5SP136","HG126_PATCH",366614,366720
"RYBP","HG126_PATCH",49076,122044
"GCGR","HG1320_PATCH",17625,27501
"RPL23AP45","HG1046_PATCH",23142,23609
"MCRIP1","HG1320_PATCH",35854,46795
"","HG1311_HG2539_PATCH",5898,5995
"RNU6-409P","HG1311_HG2539_PATCH",27174,27277
"ACR","HG1311_HG2539_PATCH",74316,81453
"","KI270742.1",14337,108409
"","HG1047_PATCH",5301,6330
"","HG1311_HG2539_PATCH",76713,79634
"C8orf33","HG1047_PATCH",9906,24126
"SNRPA1P2","HG1311_HG2539_PATCH",90790,91549
"LINC01784","HG1342_HG2282_PATCH",4199,4672
"SHANK3","HG1311_HG2539_PATCH",8917,69331
"PRAMEF11","HG1342_HG2282_PATCH",6118,12923
"PRAMEF30P","HG1342_HG2282_PATCH",19638,22870
"HNRNPCL1","HG1342_HG2282_PATCH",28921,30238
"PRAMEF2","HG1342_HG2282_PATCH",38599,43422
"PRAMEF4","HG1342_HG2282_PATCH",60725,67714
"PRAMEF10","HG1342_HG2282_PATCH",74409,79783
"PRAMEF7","HG1342_HG2282_PATCH",98123,101995
"","KI270742.1",109545,151793
"RNU6-1072P","HG1342_HG2282_PATCH",104067,104173
"PRAMEF29P","HG1342_HG2282_PATCH",107675,109766
"PRAMEF6","HG1342_HG2282_PATCH",119985,129093
"PPP1R27","HG1320_PATCH",46985,48543
"PRAMEF28P","HG1342_HG2282_PATCH",183679,186470
"PRAMEF27","HG1342_HG2282_PATCH",203816,210831
"HNRNPCL3","HG1342_HG2282_PATCH",215209,216569
"PRAMEF25","HG1342_HG2282_PATCH",223017,232224
"PRAMEF34P","HG1342_HG2282_PATCH",249519,252311
"PRAMEF35P","HG1342_HG2282_PATCH",258743,260029
"LINC02688","HG107_HG2565_PATCH",46620,52489
"HNRNPCL2","HG1342_HG2282_PATCH",269828,271194
"MUC5AC","HG107_HG2565_PATCH",155427,198622
"PRAMEF36P","HG1342_HG2282_PATCH",283158,285955
"","HG1342_HG2282_PATCH",284133,285749
"MUC2","HG107_HG2565_PATCH",71614,108092
"","HG1342_HG2282_PATCH",301321,301800
"PRAMEF26","HG1342_HG2282_PATCH",303245,310301
"HNRNPCL4","HG1342_HG2282_PATCH",318926,319807
"PRAMEF9","HG1342_HG2282_PATCH",326795,333804
"PRAMEF13","HG1342_HG2282_PATCH",350528,355749
"PRAMEF18","HG1342_HG2282_PATCH",377045,380446
"PRAMEF31P","HG1342_HG2282_PATCH",400203,402992
"PRAMEF5","HG1342_HG2282_PATCH",408552,417654
"PRAMEF32P","HG1342_HG2282_PATCH",427879,429967
"RNU6-771P","HG1342_HG2282_PATCH",433465,433571
"PRAMEF8","HG1342_HG2282_PATCH",435375,439514
"PRAMEF33","HG1342_HG2282_PATCH",457879,463247
"PRAMEF22","HG1342_HG2282_PATCH",157184,159964
"CNTNAP3C","HG1206_PATCH",48751,219108
"RN7SL462P","HG1206_PATCH",145651,145911
"","HG151_NOVEL_TEST",119918,138264
"OR9G1","HG151_NOVEL_TEST",7154,8071
"OR9G9","HG151_NOVEL_TEST",18234,19151
"","HG151_NOVEL_TEST",54158,54304
"OR9G3P","HG151_NOVEL_TEST",58021,58938
"OR9G4","HG151_NOVEL_TEST",60669,61653
"OR9G2P","HG151_NOVEL_TEST",68865,69744
"OR5G1P","HG151_NOVEL_TEST",93103,94048
"BCL2L14","HG1362_PATCH",18842,180082
"OR5G4P","HG151_NOVEL_TEST",108048,108807
"OR5G5P","HG151_NOVEL_TEST",119698,120636
"OR5G3","HG151_NOVEL_TEST",137423,138358
"LINC02735","HG151_NOVEL_TEST",166410,189093
"PTMAP9","HG1362_PATCH",80161,80487
"MIR1244-4","HG1362_PATCH",80950,81034
"LRP6","HG1362_PATCH",85023,236042
"SYT15B","HG1277_PATCH",11715,24443
"","HG1277_PATCH",126346,210159
"NPY4R2","HG1277_PATCH",137021,141806
"","HG1277_PATCH",188325,191778
"FAM25C","HG1277_PATCH",213604,218073
"AGAP12P","HG1277_PATCH",228155,249881
"","HG1277_PATCH",228414,249922
"RNA5SP315","HG1277_PATCH",258744,258859
"BMS1P7","HG1277_PATCH",268564,278298
"","HG1277_PATCH",51131,53245
"TOLLIP","HG152_PATCH",8637,43920
"TOLLIP-DT","HG152_PATCH",44035,44973
"","HG152_PATCH",67516,71334
"LINC02689","HG152_PATCH",84625,98552
"BRSK2","HG152_PATCH",124165,196955
"RPL21P100","HG1362_PATCH",124260,124770
"RNU6-545P","HG1362_PATCH",195672,195775
"","HG1362_PATCH",217989,218425
"RNU6-318P","HG1362_PATCH",258225,258327
"MANSC1","HG1362_PATCH",295054,319240
"","HG152_PATCH",198848,201898
"DUSP8","HG152_PATCH",294027,312247
"KRTAP5-AS1","HG152_PATCH",311329,339160
"RPL23AP66","HG1362_PATCH",307774,308252
"KRTAP5-1","HG152_PATCH",324318,325259
"LOH12CR2","HG1362_PATCH",324404,326065
"KRTAP5-2","HG152_PATCH",337153,338270
"KRTAP5-3","HG152_PATCH",347541,348439
"KRTAP5-4","HG152_PATCH",360934,362114
"KRTAP5-5","HG152_PATCH",369751,370906
"BORCS5","HG1362_PATCH",326076,440236
"","HG152_PATCH",402560,403319
"FAM99A","HG152_PATCH",405573,407832
"FAM99B","HG152_PATCH",423245,425605
"LINC02708","HG152_PATCH",428273,429032
"MOB2","HG152_PATCH",203723,274455
"","HG1362_PATCH",421106,421484
"DUSP16","HG1362_PATCH",442285,531866
"","HG1298_PATCH",16444,18780
"HMX1","HG1298_PATCH",98859,124622
"","HG1362_PATCH",454356,460584
"","HG1362_PATCH",537204,537779
"","HG1298_PATCH",111498,113610
"","HG1651_PATCH",117294,117707
"","HG1445_PATCH",97753,109757
"","HG1445_PATCH",109421,145794
"","HG1445_PATCH",146238,163482
"","HG1445_PATCH",147642,147752
"RBMY3AP","HG1532_PATCH",835225,845930
"CDY3P","HG1532_PATCH",33367,34984
"TSPY25P","HG1532_PATCH",848837,851006
"","HG1309_PATCH",46660,71371
"USP9YP22","HG1532_PATCH",50976,53085
"TSPY16P","HG1532_PATCH",864903,865370
"","HG1309_PATCH",52726,56866
"USP9YP4","HG1532_PATCH",56911,71893
"ELOCP4","HG1532_PATCH",98197,98529
"","HG1309_PATCH",90874,107722
"RBMY1A3P","HG1532_PATCH",178412,190151
"","HG1532_PATCH",193081,193329
"LINC03015","HG1309_PATCH",111541,125215
"TTTY20","HG1532_PATCH",197162,202114
"TSPY8","HG1532_PATCH",225079,227881
"FAM197Y7","HG1532_PATCH",235085,303872
"","HG1532_PATCH",303320,305312
"TSPY4","HG1532_PATCH",204746,207566
"TSPY9","HG1532_PATCH",488788,491602
"FAM197Y2","HG1532_PATCH",384417,447256
"FAM197Y4","HG1532_PATCH",506130,508122
"FAM197Y4","HG1532_PATCH",460285,506463
"FAM197Y8","HG1532_PATCH",222128,224096
"LINC03014","HG1309_PATCH",125237,131153
"FAM197Y8","HG1532_PATCH",214793,222683
"","HG1309_PATCH",137453,140660
"","HG1309_PATCH",150608,151701
"","HG1309_PATCH",158623,169868
"FAM20C","HG1309_PATCH",168259,235989
"","HG1309_PATCH",203242,205245
"","HG1309_PATCH",238026,238462
"SERTAD4-AS1","HG1832_PATCH",11198,13789
"SERTAD4","HG1832_PATCH",12538,26373
"OR4C12","HG1708_PATCH",23101,24163
"OR4C48P","HG1708_PATCH",60426,61323
"ST13P19","HG1832_PATCH",45378,46983
"OR4C49P","HG1708_PATCH",95036,95935
"OR4C45","HG1708_PATCH",74500,75420
"","HG1832_PATCH",83426,84282
"HHAT","HG1832_PATCH",107994,459395
"GRK1","HG1524_PATCH",18042,39335
"LINC00552","HG1524_PATCH",50110,52688
"","HG1832_PATCH",142603,146690
"RNU5A-8P","HG1832_PATCH",153896,154009
"","HG1832_PATCH",166399,173854
"BPNT2P1","HG1832_PATCH",242087,242754
"ARHGEF19","HG1343_HG173_HG459_PATCH",1991,16789
"","HG1343_HG173_HG459_PATCH",20044,21562
"ANO7L1","HG1343_HG173_HG459_PATCH",20606,32164
"","HG1343_HG173_HG459_PATCH",32811,35472
"CPLANE2","HG1343_HG173_HG459_PATCH",35829,41320
"MT1XP1","HG1343_HG173_HG459_PATCH",45350,45535
"FBXO42","HG1343_HG173_HG459_PATCH",50977,156623
"SZRD1","HG1343_HG173_HG459_PATCH",156718,202286
"RPL22P3","HG1343_HG173_HG459_PATCH",173285,173665
"SPATA21","HG1343_HG173_HG459_PATCH",191257,241687
"NECAP2","HG1343_HG173_HG459_PATCH",244986,264343
"LINC01772","HG1343_HG173_HG459_PATCH",265213,272746
"CROCCP3","HG1343_HG173_HG459_PATCH",278663,295576
"RNU1-1","HG1343_HG173_HG459_PATCH",318424,318587
"","HG1343_HG173_HG459_PATCH",319335,326095
"","HG1343_HG173_HG459_PATCH",324997,326103
"LINC01783","HG1343_HG173_HG459_PATCH",338197,339960
"RNU1-6P","HG1343_HG173_HG459_PATCH",338392,338535
"PDE4DIPP8","HG1343_HG173_HG459_PATCH",352956,356848
"","HG1343_HG173_HG459_PATCH",483403,483840
"RNU1-2","HG1343_HG173_HG459_PATCH",492015,492178
"","HG1343_HG173_HG459_PATCH",498429,500577
"","HG1343_HG173_HG459_PATCH",498552,499059
"LINC03126","HG1343_HG173_HG459_PATCH",504496,517221
"RNU1-5P","HG1343_HG173_HG459_PATCH",514315,514458
"ELOCP5","HG1535_PATCH",52742,53074
"","HG1343_HG173_HG459_PATCH",676471,676813
"CDY10P","HG1535_PATCH",58534,60100
"","HG1343_HG173_HG459_PATCH",847890,855569
"EIF1AXP1","HG1343_HG173_HG459_PATCH",850592,851026
"RNU1-3","HG1343_HG173_HG459_PATCH",869713,869876
"RNU1-4","HG1343_HG173_HG459_PATCH",957786,957949
"PADI2","HG1343_HG173_HG459_PATCH",1481961,1534651
"USP9YP3","HG1535_PATCH",82985,95067
"","HG1343_HG173_HG459_PATCH",652677,779104
"USP9YP8","HG1535_PATCH",98305,102177
"CROCCP4","HG1343_HG173_HG459_PATCH",879420,1005754
"CDY11P","HG1535_PATCH",117629,119279
"","HG1343_HG173_HG459_PATCH",1178785,1193160
"OFD1P16Y","HG1535_PATCH",198642,199281
"","HG1343_HG173_HG459_PATCH",561254,566210
"","HG1343_HG173_HG459_PATCH",564764,571773
"","HG1343_HG173_HG459_PATCH",567488,567922
"LINC01300","HG2031_PATCH",7059,11175
"","HG1343_HG173_HG459_PATCH",679318,683976
"","HG2031_PATCH",19957,21919
"GPR20","HG2031_PATCH",23024,33840
"","HG2031_PATCH",40757,48783
"","HG1343_HG173_HG459_PATCH",767483,772149
"ASTILCS","HG2031_PATCH",56493,59128
"","HG1343_HG173_HG459_PATCH",886318,891041
"PTP4A3","HG2031_PATCH",58549,99008
"","HG1343_HG173_HG459_PATCH",974464,979128
"","HG1343_HG173_HG459_PATCH",1161819,1166487
"","HG1343_HG173_HG459_PATCH",434287,466213
"","HG2031_PATCH",101099,104508
"","HG2031_PATCH",114029,114103
"HNRNPA1P38","HG2031_PATCH",125629,126585
"","HG2031_PATCH",173887,176339
"","HG1343_HG173_HG459_PATCH",366657,428849
"C8orf90","HG2031_PATCH",181192,185291
"MROH5","HG2031_PATCH",100379,173784
"","HG1343_HG173_HG459_PATCH",1011165,1078120
"","HG1343_HG173_HG459_PATCH",585030,647269
"NBPF1","HG1343_HG173_HG459_PATCH",1198562,1260797
"RPL14P5","Y",1008503,1010101
"","Y",253743,255091
"DHRSX-IT1","Y",2334295,2336410
"DHRSX","Y",2219506,2502805
"RNU6-1004P","HG2047_PATCH",10678,10788
"ORAI1","HG2047_PATCH",32306,48880
"LINC00685","Y",320990,321851
"MIR6089","Y",2609191,2609254
"LINC00102","Y",2612988,2615347
"","Y",388100,388389
"FABP5P13","Y",523775,524102
"KRT18P53","Y",545236,545352
"SHOX","Y",624344,659411
"MIR3690","Y",1293918,1293992
"RNA5SP498","Y",1300256,1300375
"CD99P1","Y",2609415,2623453
"CRLF2","Y",1190490,1212723
"ASMT","Y",1615059,1643081
"","Y",1767347,1768776
"","Y",964424,965367
"","Y",600187,600999
"","Y",1248681,1263594
"","Y",1248659,1249661
"","Y",1552740,1565013
"ASMTL-AS1","Y",1401430,1414028
"","HG1369_PATCH",16910,28852
"","HG1369_PATCH",42053,42404
"","Y",1883825,1894966
"","HG1369_PATCH",42764,44957
"","Y",1111322,1112300
"","HG1369_PATCH",50247,51782
"","Y",386962,511616
"MIR4740","HG1369_PATCH",55354,55416
"MIR3186","HG1369_PATCH",107309,107393
"","HG1369_PATCH",117218,118142
"LINC01971","HG1369_PATCH",136728,137775
"","HG1369_PATCH",170252,183981
"ACTG1","HG1369_PATCH",165618,180052
"LINC00106","Y",1392679,1400524
"","Y",1337165,1341817
"","Y",2500245,2503113
"","Y",2373008,2373119
"","Y",990101,994374
"","Y",267677,276210
"","Y",278946,281825
"","Y",1169151,1179160
"LINC02968","Y",1657735,1763312
"BAHCC1","HG1369_PATCH",50095,122536
"","HG1369_PATCH",137857,138948
"","HG1369_PATCH",171267,172617
"","HG1369_PATCH",46943,48002
"LINC03048","HG1369_PATCH",29782,40102
"CD99P1","Y",2608406,2666596
"LINC03112","Y",2566022,2609292
"","Y",2583664,2606031
"ZBED1","Y",2486414,2502862
"","HG2057_PATCH",21920,25430
"PPP2R3B","Y",333933,386955
"","HG2057_PATCH",25166,25857
"RPL21P63","HG2057_PATCH",85633,86111
"GCNT2P1","HG2057_PATCH",144646,145579
"","HG2057_PATCH",170382,203744
"C6orf52","HG2057_PATCH",182302,205681
"","HG1384_PATCH",45607,45750
"CD99","Y",2690988,2741312
"","HG2057_PATCH",185542,185652
"PAK1IP1","HG2057_PATCH",205856,220666
"TMEM14C","HG2057_PATCH",233799,242013
"PLCXD1","Y",276322,303358
"GCNT2","HG2057_PATCH",3107,140252
"P2RY8","Y",1462572,1537187
"IL3RA","Y",1335025,1382689
"GTPBP6","Y",303346,318846
"SLC25A6","Y",1386133,1392929
"ASMTL","Y",1403138,1453786
"CSF2RA","Y",1268779,1325373
"","HG1395_PATCH",32845,52502
"RNU5B-4P","HG1395_PATCH",38436,38546
"ECSCR","HG1395_PATCH",39089,52538
"SMIM33","HG1395_PATCH",60573,64567
"STING1","HG1395_PATCH",65328,72730
"CTBP2P1","HG2062_PATCH",68492,68736
"AKAP17A","Y",1591604,1602532
"AMD1P2","Y",57015105,57016096
"DPH3P2","Y",57062156,57062405
"ELOCP24","Y",57165512,57165845
"TRPC6P1","Y",57171890,57172769
"","Y",57190738,57208756
"DDX11L16","Y",57212184,57214397
"WASH6P","Y",57207346,57212230
"","Y",56919422,56954169
"","Y",57138638,57145842
"WASIR1","Y",57201135,57203405
"","Y",57208516,57215634
"IL9R","Y",57184216,57199537
"VAMP7","Y",57067747,57130289
"","HG1395_PATCH",82333,82900
"NCOA4P4","HG1395_PATCH",84051,85911
"TSPY24P","Y",8280198,8282209
"ZNF92P1Y","Y",7853686,7854876
"SERBP1P2","Y",4801685,4802848
"TSPY12P","Y",7687739,7689548
"DUX4L19","Y",11332329,11333595
"","Y",14941746,14942715
"OFD1P3Y","Y",9030594,9039988
"RBMY2HP","Y",7671743,7676024
"","Y",8517364,8517748
"ELOCP35","Y",17464879,17465214
"SLC9B1P1","Y",11340579,11385687
"USP12PY","Y",3682805,3683868
"KDM5DP1","Y",20570222,20570519
"DUX4L17","Y",11314921,11316187
"","HG2063_PATCH",273538,274045
"","Y",7905536,7907303
"","Y",11473727,11474237
"ZNF736P6Y","Y",8350931,8352143
"TUSC2P1","Y",5887504,5888740
"PUDPP1","Y",15348662,15456074
"","Y",7690511,7692678
"CDRT15P10","Y",11085476,11086061
"","Y",7678899,7681028
"RNF19BPY","Y",3777997,3779546
"TUBB1P2","Y",17516836,17519038
"","Y",7656968,7657352
"ACTR3BP1","Y",11395699,11397076
"RPS24P1","Y",12244752,12245457
"RCC2P2","Y",19986575,19987852
"ZNF736P8Y","Y",7913422,7914090
"BPY2","Y",22973819,23005465
"MTND1P12","Y",11445418,11445564
"CTBP2P1","Y",56855244,56855488
"MTND6P1","Y",8363536,8363959
"PABPC1P5","Y",11335627,11337693
"RCC2P1","Y",11781052,11782527
"SHROOM2P1","Y",12537773,12544883
"","Y",11107065,11107263
"DUX4L18","Y",11321557,11322823
"ZNF736P11Y","Y",22866544,22867756
"BPY2DP","Y",7932997,7937640
"CHEK2P1","Y",11412548,11418716
"ZNF886P","Y",20001185,20012204
"OFD1P16Y","Y",21817579,21818218
"","Y",8931069,8931454
"ASS1P6","Y",11922536,11923769
"SNX18P1Y","Y",11178306,11178816
"MED14P1","Y",12618983,12634402
"ZNF885P","Y",20390051,20396796
"ARSFP1","Y",12252321,12258033
"","Y",11445708,11446101
"ZNF736P7Y","Y",7990987,7991806
"SURF6P1","Y",17192826,17193652
"","Y",11144250,11144492
"ANKRD20A6P","Y",11173618,11173821
"","Y",7845485,7846454
"RBMY2KP","Y",8264449,8277188
"TTTY19","Y",8704472,8705283
"TTTY4","Y",22936455,22973284
"","Y",8971751,8974095
"MXRA5Y","Y",11957208,11987386
"DUX4L16","Y",11306918,11308181
"MTCYBP1","Y",8364032,8365150
"","Y",11107389,11107596
"TTTY17A","Y",22851584,22852715
"AGPAT5P1","Y",3293808,3294826
"","Y",3851224,3852869
"FAM41AY1","Y",17500958,17515018
"","Y",11042722,11042943
"TRIM60P3Y","Y",8413037,8414054
"MTND1P1","Y",8371663,8372030
"","Y",19932130,19932500
"PRRC2CP1","Y",3549652,3549810
"ZNF736P10Y","Y",8418791,8419900
"","Y",22861112,22861834
"","Y",17514502,17516715
"MTND2P3","Y",8372241,8372710
"","Y",11107719,11107887
"","Y",14276212,14277489
"","Y",8901203,8903276
"ARSDP1","Y",12354096,12387328
"CDY4P","Y",12801973,12803830
"UBE2V1P3","Y",3866306,3866722
"FAM8A4P","Y",12321623,12322835
"","Y",23017063,23017821
"TRIM60P8Y","Y",23025594,23026663
"MED13P1","Y",14907898,14908068
"CYCSP46","Y",14941547,14941750
"RNU6-303P","Y",4174985,4175090
"","Y",16138248,16138379
"RN7SL702P","Y",12273473,12273764
"RNA5SP520","Y",17557864,17557976
"RNA5SP521","Y",17559774,17559889
"","Y",17568962,17569051
"RNU6-109P","Y",16248935,16249041
"RNU6-184P","Y",16336283,16336389
"HSFY2","Y",18731440,18773735
"RNA5SP266","HG2067_PATCH",110303,110410
"GPM6BP2","Y",18741843,18741986
"USP9YP2","Y",18776279,18779427
"ELOCP14","Y",18787750,18788080
"XKRYP2","Y",18811338,18811829
"USP9YP10","Y",18826107,18829487
"RNU1-41P","Y",18833729,18833890
"OFD1P7Y","Y",18848264,18867280
"MTCYBP2","Y",18872102,18872272
"ZNF839P1","Y",18985175,18986398
"CD24P4","Y",18992467,18992709
"RNU6-255P","Y",19018983,19019087
"","Y",19253960,19260875
"GAPDHP19","Y",19327569,19328573
"CLUHP1","Y",17621259,17625832
"TAF9P1","Y",17628513,17629402
"CDY5P","Y",17721598,17723177
"ELOCP36","Y",17726752,17727080
"ACTG1P2","Y",17757001,17758125
"USP9YP23","Y",17782210,17784815
"USP9YP27","Y",17788315,17789484
"RNU1-128P","Y",17789003,17789162
"TRAPPC2P3","Y",17797983,17800696
"ELOCP6","Y",17837201,17837528
"CDY6P","Y",17882099,17883708
"USP9YP7","Y",17908755,17910806
"USP9YP6","Y",17912699,17921630
"CDY7P","Y",17951589,17953500
"USP9YP34","Y",17984349,17993260
"USP9YP32","Y",17995201,17997252
"CDY8P","Y",18022299,18023908
"ELOCP12","Y",18068483,18068810
"TRAPPC2P8","Y",18105314,18108102
"USP9YP15","Y",18116527,18117695
"RNU1-95P","Y",18116848,18117007
"USP9YP16","Y",18121195,18123799
"ACTG1P11","Y",18147884,18149008
"ELOCP26","Y",18178932,18179260
"CDY9P","Y",18182835,18184414
"TAF9P2","Y",18276607,18277495
"CLUHP2","Y",18280178,18284761
"","Y",18336960,18337049
"RNA5SP522","Y",18346123,18346238
"RNA5SP523","Y",18348035,18348147
"TUBB1P1","Y",18386974,18389151
"ELOCP13","Y",18440797,18441125
"OFD1P4Y","Y",18453150,18472137
"RNU1-48P","Y",18486511,18486672
"USP9YP5","Y",18490915,18494295
"XKRYP1","Y",18508577,18509068
"ELOCP7","Y",18532326,18532656
"USP9YP1","Y",18540980,18544128
"GPM6BP1","Y",18578417,18578560
"RAB9AP4","Y",18649671,18650279
"TRAPPC2P7","Y",18655520,18656190
"","Y",19598188,19598757
"","Y",19691941,19694606
